99
2100 2550
1736 1649 1
1501 2051 1
1501 1751 2
1501 1751 2
1301 1301 1
1181 2001 1
1151 751 4
1151 591 2
1001 2141 1
1001 1501 1
1001 751 1
1001 351 2
981 1931 4
901 2504 1
901 1601 1
901 1303 2
901 751 2
751 2501 1
751 2002 1
751 2001 1
751 1852 1
751 1752 2
751 1751 1
751 1252 1
651 1906 1
651 1402 1
601 2103 1
601 1651 1
601 1201 1
581 1373 3
560 560 1
551 2504 1
551 2501 3
551 2401 1
551 2254 2
551 2251 1
551 2003 3
551 1881 1
551 1861 1
551 1755 1
551 1503 3
551 1501 1
551 1483 1
551 1283 1
551 1252 6
551 1002 3
551 752 1
551 701 1
551 502 1
501 752 1
500 890 1
481 2241 1
481 991 4
481 902 1
481 302 1
481 161 2
477 439 1
464 1111 3
461 721 1
451 1152 1
444 465 2
443 605 1
443 445 1
422 581 1
401 1001 9
399 2006 4
371 1691 1
371 1001 3
350 1505 1
350 1055 1
350 535 1
331 1441 1
321 2003 1
321 1022 1
321 1002 2
321 902 1
317 2191 3
317 1441 4
315 581 2
315 551 6
315 441 4
315 341 7
304 1111 3
303 1002 1
281 2252 2
281 2002 1
281 1752 2
281 902 5
281 701 2
281 652 1
281 542 2
281 341 2
279 1597 2
264 978 1
250 1002 1
241 1752 1
203 1002 1
191 1405 4
315 751 1
