75
2100 2550
1801 501 1
1071 1071 2
1021 2101 1
1021 2001 3
1002 1681 1
1002 1441 1
1001 2111 1
1001 1361 1
981 721 6
961 468 4
918 1418 2
901 1201 1
901 251 1
881 721 2
831 721 2
771 1001 1
752 1441 1
751 1361 3
751 1001 1
751 751 3
641 1940 2
559 963 2
559 413 6
557 768 4
557 729 1
557 668 1
543 2400 1
541 1101 1
541 651 1
511 481 2
502 1441 3
501 2111 1
498 981 1
498 915 1
498 881 1
498 815 1
487 2116 3
481 1940 2
472 557 4
459 967 4
453 768 4
451 1801 1
449 1001 1
449 441 1
437 2356 4
392 782 1
392 721 1
391 751 2
391 551 3
387 2356 4
361 2002 1
329 1001 1
329 751 7
329 557 2
329 441 1
299 980 2
295 729 2
279 967 4
268 981 2
268 915 2
268 831 1
268 765 1
255 2191 1
255 2091 1
251 2501 1
250 519 2
242 557 6
235 2400 1
223 768 4
223 668 2
165 392 1
145 519 6
250 418 1
250 378 1
461 481 1
