68
2100 2550
1251 2211 1
1001 2253 2
1001 1501 1
1001 1121 2
1001 1001 1
1001 991 1
1001 751 1
1001 591 2
940 1121 1
751 2501 1
751 2251 1
751 1906 1
751 1502 1
727 1686 1
701 2501 1
610 982 2
601 2370 1
601 1031 1
601 1002 2
583 1252 1
581 1503 3
579 878 1
551 1753 1
551 1751 1
551 1503 4
551 1252 1
551 1002 1
551 966 7
551 172 1
531 209 1
501 721 1
501 611 1
481 2501 1
481 2241 3
481 1941 4
481 1741 1
481 1503 3
481 1141 3
481 161 2
477 439 1
426 1141 1
371 1001 1
350 2507 1
331 1441 1
317 2431 2
317 1781 2
317 1681 4
317 1471 3
317 1441 2
315 691 4
315 681 4
315 601 8
291 751 1
281 2102 1
281 2002 1
281 1252 2
281 1152 2
281 702 4
255 1940 1
255 1205 1
255 1001 1
253 582 3
253 470 2
251 2191 4
251 501 1
249 601 14
249 501 6
481 502 1
